family,exp_ev_ia,exp_ev_upd,bat_med,bat_shape,bat_scale,gps_med,gps_shape,gps_scale,n_attempts,n_pass_events,n_pass_futility,n_accepted,acceptance_rate,p_reach80,p_no_readout,median_hr_final,p_hr_below_threshold,p_success_overall,median_t80_months,p10_t80_months,p90_t80_months,median_hr_ia,median_z_ia,median_bat_alive_upd,median_gps_alive_upd
weibull,60.60613619664571,72.2883507128767,15.5,0.6,28.55108364892777,38.587798044080735,0.6,71.07893224416003,1000,446,337,337,0.337,1.0,0.0,0.5791981034703606,0.712166172106825,0.712166172106825,68.92901331019151,63.719295927157674,76.55592173999399,0.5788747042918987,2.111476364167208,21.0,33.0
weibull,61.09698011542593,72.85977608727563,16.0,0.5,33.301903696089724,31.697863849222255,0.7,53.50842824040094,1000,472,337,337,0.337,1.0,0.0,0.678753143060424,0.34124629080118696,0.34124629080118696,68.38209092433885,63.81136859903276,75.98666568773346,0.6059561163946448,1.9315458684518811,23.0,31.0
weibull,61.06928900213192,70.84897227974716,14.0,0.5,29.13916573407851,42.5755235841089,0.5,88.61537413803697,1000,412,336,336,0.336,1.0,0.0,0.5779328608243406,0.7232142857142857,0.7232142857142857,73.20307754115123,66.66890819504697,85.17201696206143,0.5757572390064801,2.130613728845171,21.0,33.0
weibull,59.825002601404954,71.22479327383333,14.0,0.6,25.788075553870243,46.975347139277204,0.6,86.52884294264021,1000,481,335,335,0.335,1.0,0.0,0.5135280505392213,0.8417910447761194,0.8417910447761194,70.8415463690916,64.82622886269736,78.77828216486957,0.5258320783762853,2.474105870161012,20.0,34.0
weibull,61.39224664994776,72.07193027499162,13.5,0.5,28.09848124357571,38.587798044080735,0.6,71.07893224416003,1000,437,334,334,0.334,1.0,0.0,0.5944645206225757,0.6437125748502994,0.6437125748502994,70.88349718891439,64.88821432382154,79.77077019310715,0.5649458316627597,2.1935649997497118,21.0,33.0
weibull,60.60727932677963,71.38601125513017,16.0,0.5,33.301903696089724,34.97357243180279,0.6,64.42150916143456,1000,444,334,334,0.334,1.0,0.0,0.6523490837188597,0.45209580838323354,0.45209580838323354,71.28794245460011,64.46265573164186,80.94212108455015,0.6167328520852401,1.856977093819968,22.5,32.0
weibull,60.50530880121223,72.10560470257207,15.0,0.5,31.22053471508412,34.97357243180279,0.7,59.03807586780019,1000,449,333,333,0.333,1.0,0.0,0.6436613342166735,0.4774774774774775,0.4774774774774775,68.59930823700097,63.76124546434526,77.68853684889952,0.5839477676171382,2.074801397695317,23.0,32.0
weibull,59.11006866392356,70.66815373946439,17.0,0.5,35.383272677095334,34.97357243180279,0.7,59.03807586780019,1000,440,333,333,0.333,1.0,0.0,0.6717202564393977,0.3993993993993994,0.3993993993993994,70.21829321343552,64.47524228492432,78.05630573652824,0.5985409028285128,1.9622888028879046,23.0,32.0
weibull,60.41049823198003,71.95892465195068,14.5,0.6,26.709078252222753,42.5755235841089,0.6,78.42434420947033,1000,450,332,332,0.332,1.0,0.0,0.5188551146726361,0.7921686746987951,0.7921686746987951,69.4059241320214,64.22206437416544,78.01526396258934,0.5275637697401367,2.472144588160668,20.0,34.0
weibull,60.69294350347891,71.48123321808717,15.5,0.6,28.55108364892777,42.5755235841089,0.5,88.61537413803697,1000,444,332,332,0.332,1.0,0.0,0.551162447971865,0.7771084337349398,0.7771084337349398,71.80598614316648,65.06411054140393,82.16713460672645,0.5835992506494372,2.073791919753635,20.0,34.0
weibull,61.207272832617505,72.08641354334904,16.0,0.6,29.47208634728028,38.587798044080735,0.5,80.31544589425852,1000,443,332,332,0.332,1.0,0.0,0.5825051842892728,0.6867469879518072,0.6867469879518072,71.28392157275476,64.44150519416236,80.70832229339382,0.6186759033825932,1.8470369094615324,21.0,34.0
weibull,59.57069805489746,71.24410770396332,16.5,0.7,27.85326702664471,46.975347139277204,0.5,97.77303040766209,1000,468,332,332,0.332,1.0,0.0,0.5272644673331177,0.8313253012048193,0.8313253012048193,69.82353257321193,64.74655818225312,77.06043102508285,0.5944099810309247,2.0053347796921686,20.0,35.0
weibull,59.79348519247556,72.35556649753543,17.0,0.5,35.383272677095334,31.697863849222255,0.7999999999999999,50.1185121022287,1000,459,332,332,0.332,1.0,0.0,0.6922189331231896,0.3102409638554217,0.3102409638554217,67.40227158337616,63.2834465961446,74.60798317913782,0.5979222326244567,1.9643501782311106,23.5,31.0
weibull,59.37547093425597,71.02510252971095,17.0,0.6,31.314091743985294,38.587798044080735,0.6,71.07893224416003,1000,454,332,332,0.332,1.0,0.0,0.6056719612510131,0.6114457831325302,0.6114457831325302,70.03136433639636,64.12777251530406,77.55275948161693,0.6128820317013524,1.8939959823544679,21.0,33.0
weibull,60.96276252545302,72.7477327071158,16.0,0.7,27.009228631897898,42.5755235841089,0.5,88.61537413803697,1000,464,331,331,0.331,1.0,0.0,0.5226866687961049,0.8398791540785498,0.8398791540785498,69.29193709954399,63.95950292632927,77.50480923412971,0.600618460181307,1.9438525292906101,20.0,35.0
weibull,59.85889501477467,70.62693165674784,16.5,0.6,30.393089045632784,42.5755235841089,0.5,88.61537413803697,1000,453,331,331,0.331,1.0,0.0,0.5717326769410689,0.6978851963746223,0.6978851963746223,72.15772145593635,65.30070899704279,81.05947659356191,0.616756491571122,1.8602465432894377,21.0,34.0
