family,exp_ev_ia,exp_ev_upd,bat_med,bat_shape,bat_scale,cure_frac,unc_med,unc_shape,unc_scale,leak_yr,n_attempts,n_pass_events,n_pass_futility,n_accepted,acceptance_rate,p_reach80,p_no_readout,median_hr_final,p_hr_below_threshold,p_success_overall,median_t80_months,p10_t80_months,p90_t80_months,median_hr_ia,median_z_ia,median_bat_alive_upd,median_gps_alive_upd
leaky,61.48247169028942,72.73442465261246,14.5,0.7,24.47711344765747,0.2,26.0,0.5,54.11559350614581,0.0,1000,471,373,373,0.373,1.0,0.0,0.47838829854582104,0.9249329758713136,0.9249329758713136,70.10898323253127,64.15737994251018,78.6400079720016,0.5633675953379041,2.1953540046877005,19.0,36.0
leaky,60.868943057347934,71.2281319022094,15.0,0.7999999999999999,23.7169824789905,0.7000000000000001,4.0,1.5,5.1071233892091445,0.05,1000,462,373,373,0.373,1.0,0.0,0.3975726558025306,0.9946380697050938,0.9946380697050938,71.59800433308757,64.84566845428344,81.52980476023406,0.5372713561966377,2.40697498748463,17.0,38.0
leaky,59.299226019151334,70.66100604178133,16.0,0.7,27.009228631897898,0.30000000000000004,22.0,0.5,45.79011758212337,0.03,1000,470,373,373,0.373,1.0,0.0,0.4893923281284042,0.9195710455764075,0.9195710455764075,70.77701583584343,63.9679924855101,80.474360439265,0.5656477108887459,2.1904616189775505,19.0,35.0
leaky,59.81864858913467,71.23716664884155,16.0,0.7999999999999999,25.29811464425653,0.4,12.0,0.5,24.976427772067296,0.0,1000,475,373,373,0.373,1.0,0.0,0.43811263180347665,0.9865951742627346,0.9865951742627346,71.49920134945293,64.24312088031438,80.44859099911952,0.5676858703797142,2.184628780065745,18.0,37.0
leaky,60.405827691117295,71.83035467608805,17.0,0.7,28.697305421391516,0.6000000000000001,10.0,2.0,12.011224087864498,0.04,1000,470,373,373,0.373,1.0,0.0,0.49594801896361446,0.903485254691689,0.903485254691689,73.1656999665428,65.05061237036387,84.91805064560762,0.5889909393128498,2.039005509562577,20.0,34.0
leaky,61.06668856859267,72.18226691888135,15.5,0.6,28.55108364892777,0.2,28.0,0.5,58.27833146815702,0.09,1000,467,372,372,0.372,1.0,0.0,0.560384232508899,0.7903225806451613,0.7903225806451613,69.42582882241697,64.19129446859252,78.38834192607567,0.5817927601419233,2.094020035934015,21.0,34.0
leaky,59.84742194804984,70.85407739020066,15.5,0.6,28.55108364892777,0.7000000000000001,6.0,1.0,8.656170245333781,0.09,1000,468,372,372,0.372,1.0,0.0,0.535860841046267,0.8360215053763441,0.8360215053763441,71.15470530567303,64.94346680569244,80.12122721624006,0.543814439148125,2.3451078980579076,21.0,34.0
leaky,60.581559828881225,71.51889297035227,15.5,0.7,26.165190237151087,0.4,12.0,0.5,24.976427772067296,0.02,1000,478,372,372,0.372,1.0,0.0,0.4877609266518854,0.9301075268817204,0.9301075268817204,71.80632651913947,65.30909434771057,82.00390031877178,0.5878625503315573,2.0688240837007017,19.0,36.0
leaky,60.39492467255962,71.08041646165637,15.5,0.7,26.165190237151087,0.7000000000000001,6.0,1.5,7.660685083813717,0.07,1000,463,372,372,0.372,1.0,0.0,0.4568984353284923,0.9327956989247311,0.9327956989247311,71.8540242280772,65.45371079819432,81.2581807775237,0.539566521220674,2.40013143719435,19.0,36.0
leaky,60.292434521505854,70.66080430259746,15.5,0.7999999999999999,24.507548561623512,0.7000000000000001,4.0,1.5,5.1071233892091445,0.05,1000,469,372,372,0.372,1.0,0.0,0.4131888381334351,0.9946236559139785,0.9946236559139785,72.51403953943942,65.58886990225771,82.20001838311796,0.5511912468135154,2.3196354324141994,17.0,37.0
leaky,60.962927184280694,72.79355750819781,16.0,0.8999999999999999,24.042552967112837,0.7000000000000001,6.0,2.0,7.206734452718699,0.06,1000,479,372,372,0.372,1.0,0.0,0.4089863269192552,0.9973118279569892,0.9973118279569892,68.7731192720953,63.85232614760094,77.07055110652618,0.5510089138950486,2.302111283423172,17.0,37.0
leaky,59.70775296326218,71.08929581265996,16.5,0.6,30.393089045632784,0.5,12.0,0.5,24.976427772067296,0.1,1000,487,372,372,0.372,1.0,0.0,0.5863603297352384,0.6747311827956989,0.6747311827956989,70.02088831122052,64.12832381029683,78.22396457154049,0.5950146181456317,1.9866423849146475,21.0,33.0
