family,exp_ev_ia,exp_ev_upd,bat_med,bat_shape,bat_scale,cure_frac,unc_med,unc_shape,unc_scale,n_attempts,n_pass_events,n_pass_futility,n_accepted,acceptance_rate,p_reach80,p_no_readout,median_hr_final,p_hr_below_threshold,p_success_overall,median_t80_months,p10_t80_months,p90_t80_months,median_hr_ia,median_z_ia,median_bat_alive_upd,median_gps_alive_upd
cure,61.26474561771792,71.39632891990671,16.5,0.8999999999999999,24.793882747335115,0.6000000000000001,7.0,2.0,8.407856861505149,1000,444,381,381,0.381,1.0,0.0,0.3466199778711722,1.0,1.0,78.03474648691906,68.04929153560903,95.31767774367273,0.5813325352694177,2.110851066086754,17.0,38.0
cure,61.10186487891986,72.22529008567165,17.0,0.9999999999999999,24.52581569511238,0.6000000000000001,6.0,1.5,7.660685083813717,1000,464,381,381,0.381,1.0,0.0,0.3551439062893258,1.0,1.0,73.75147543649855,65.23038960782341,90.10698457484688,0.593971437103698,1.9916645082647426,16.0,38.0
cure,60.61080754952533,72.70474473673147,17.5,0.8999999999999999,26.296542307779667,0.55,8.0,1.25,10.725798112670647,1000,473,381,381,0.381,1.0,0.0,0.4128661602845941,0.9868766404199475,0.9868766404199475,72.03200779511239,65.48565956717741,83.7853188504153,0.5763470759341606,2.1612825614006534,18.0,36.0
cure,60.611142461084256,71.64347201727438,17.5,0.9999999999999999,25.247163215556863,0.6000000000000001,7.0,2.0,8.407856861505149,1000,468,381,381,0.381,1.0,0.0,0.3598033825234785,1.0,1.0,75.40129272680711,66.72184900448022,87.7466437590744,0.6042661156143145,1.9476797394260843,16.0,38.0
cure,59.14989875226855,71.4259884884953,17.5,0.9999999999999999,25.247163215556863,0.6000000000000001,8.0,1.5,10.214246778418289,1000,490,381,381,0.381,1.0,0.0,0.362158700220722,1.0,1.0,73.67931208573232,65.16731506293088,85.26815319073013,0.5705563516847354,2.1598184798330418,16.0,38.0
cure,60.4495044156485,72.32867153893105,16.0,0.7999999999999999,25.29811464425653,0.30000000000000004,18.0,0.5,37.464641658100945,1000,498,380,380,0.38,1.0,0.0,0.46303285075035605,0.9552631578947368,0.9552631578947368,69.00423742319649,63.839841966829354,78.44938152796581,0.5793800480557321,2.092605213499582,18.0,36.0
cure,59.64176977500969,71.48306910987284,16.0,0.7999999999999999,25.29811464425653,0.30000000000000004,20.0,0.5,41.62737962011216,1000,494,380,380,0.38,1.0,0.0,0.4436660604097493,0.9815789473684211,0.9815789473684211,69.35872847758097,63.80738382680275,78.49616983673475,0.5471411839939182,2.3099163157333917,18.0,36.0
cure,59.97306610935338,71.12609177731474,16.5,1.0999999999999999,23.024386689638906,0.65,5.0,1.75,6.164912028764898,1000,485,380,380,0.38,1.0,0.0,0.2989530479972206,1.0,1.0,74.61775156839116,66.56500349660874,89.10580788591872,0.5452795375439912,2.350187069142164,14.0,40.0
cure,60.938095042303885,72.31806678314229,17.0,0.7999999999999999,26.879246809522563,0.55,10.0,2.0,12.011224087864498,1000,471,380,380,0.38,1.0,0.0,0.40982977001704546,0.9868421052631579,0.9868421052631579,77.21948329851733,67.1005924557789,92.20474242131047,0.5746540990281799,2.1330635751812985,19.0,35.0
cure,60.61209679226245,70.76338802711999,17.0,0.8999999999999999,25.54521252755739,0.6000000000000001,5.0,1.25,6.703623820419155,1000,472,380,380,0.38,1.0,0.0,0.367180611064655,0.9973684210526316,0.9973684210526316,77.69445164739679,68.4830635735838,95.83215604046818,0.6235404079733307,1.8066266521185441,17.0,38.0
cure,60.297808882611754,71.89731977842791,17.0,0.9999999999999999,24.52581569511238,0.6000000000000001,5.0,1.0,7.213475204444817,1000,490,380,380,0.38,1.0,0.0,0.37251433547694524,1.0,1.0,74.2767855530272,65.49747194084817,88.46330137943605,0.6103814344638416,1.9089739689006375,16.0,38.0
