family,exp_ev_ia,exp_ev_upd,exp_ev_pr3,bat_med,bat_shape,bat_scale,cure_frac,unc_med,unc_shape,unc_scale,leak_yr,n_attempts,n_pass_events,n_pass_futility,n_accepted,acceptance_rate,p_reach80,p_no_readout,median_hr_final,hr_final_low,hr_final_high,p_hr_below_threshold,p_success_overall,median_t80_months,p10_t80_months,p90_t80_months,median_hr_ia,median_z_ia,median_bat_alive_upd,median_gps_alive_upd
leaky,59.125393662442136,72.6192979320586,76.65790795996654,18.0,1.0,25.968510736001342,0.4,12.0,0.5,24.976427772067296,0.01,800,120,72,72,0.09,1.0,0.0,0.436571677516169,0.31882643835668745,0.6122266113175646,0.9861111111111112,0.9861111111111112,66.16922287515129,63.64250315621212,70.01327253944922,0.5733429430863534,2.131244540182923,16.0,37.0
leaky,58.799668266392615,73.37998156626736,77.89263092654082,18.0,1.0,25.968510736001342,0.5,12.0,0.5,24.976427772067296,0.07,800,117,72,72,0.09,1.0,0.0,0.4706711169174255,0.30809511841496173,0.6608758226834353,0.9583333333333334,0.9583333333333334,65.98291225050171,63.765791081933095,69.54638195658357,0.598662864353107,1.9416488756665633,18.0,35.0
leaky,59.27478609810109,72.58141479669452,76.82868488030988,19.0,0.8,30.04151114005463,0.4,16.0,0.5,33.301903696089724,0.1,800,112,72,72,0.09,1.0,0.0,0.5704371212230853,0.3704874287321884,0.7853383483054874,0.75,0.75,66.36360827156402,63.953390644692135,70.96074238379437,0.6577433198579086,1.6159287408942755,20.0,34.0
leaky,59.03637273157797,72.76329720610741,76.92493517175583,19.0,1.0,27.411205776890306,0.30000000000000004,16.0,0.5,33.301903696089724,0.0,800,124,72,72,0.09,1.0,0.0,0.5013298706133964,0.3232268731229086,0.686231372928644,0.9027777777777778,0.9027777777777778,67.08755032544144,63.94650853822807,70.60290607225883,0.6662382771439903,1.5829057836412055,18.0,36.0
leaky,59.548750220688014,72.70840511476457,76.7664227699919,15.0,0.6,27.63008095057526,0.5,16.0,1.0,23.083120654223414,0.07,800,117,71,71,0.08875,1.0,0.0,0.5482671910600256,0.36913840661033387,0.8141033713782524,0.8309859154929577,0.8309859154929577,65.60387885727891,63.868028453653494,68.82606859735871,0.5033529967119923,2.6263826841084277,21.0,33.0
leaky,59.85003789844872,72.88348125831351,76.94355966742137,15.0,0.8,23.7169824789905,0.4,26.0,0.5,54.11559350614581,0.09,800,117,71,71,0.08875,1.0,0.0,0.4319201901859878,0.3247787978333906,0.6075328187472855,1.0,1.0,66.22895344541317,63.46814651876975,70.65248616136302,0.5038624157030804,2.592856675085387,17.0,36.0
leaky,59.300613712686754,72.64838054952303,76.7227120868824,18.0,0.6,33.15609714069031,0.4,16.0,1.0,23.083120654223414,0.05,800,100,71,71,0.08875,1.0,0.0,0.6635624635256995,0.4849311810868692,0.9106459321535215,0.4225352112676056,0.4225352112676056,66.0401182047612,63.47583692108603,69.98739049328259,0.5697747622057752,2.1651409641358983,22.0,31.0
leaky,59.9656013014246,72.89566675001754,76.95928483128945,18.0,0.8,28.460378974788597,0.30000000000000004,20.0,0.5,41.62737962011216,0.07,800,112,71,71,0.08875,1.0,0.0,0.5659617667061712,0.38436385295109843,0.7814546232811085,0.7323943661971831,0.7323943661971831,66.29244171789536,63.92155993379647,70.46772014688935,0.6392132276118385,1.698921759817332,20.0,34.0
leaky,59.89162073701554,72.76234263979788,76.81188547034185,18.0,0.8,28.460378974788597,0.4,14.0,0.5,29.13916573407851,0.07,800,116,71,71,0.08875,1.0,0.0,0.5611577748867803,0.35694634803243885,0.7349509408292401,0.7464788732394366,0.7464788732394366,65.8676204609254,63.763072126026415,70.92567460386621,0.632147974970151,1.7794486502745352,20.0,34.0
leaky,58.88882200792694,73.17958615830563,77.59752856480247,18.0,1.0,25.968510736001342,0.6000000000000001,6.0,0.5,12.488213886033648,0.07,800,103,71,71,0.08875,1.0,0.0,0.486242003598525,0.3153643223274946,0.6664293948369854,0.9436619718309859,0.9436619718309859,65.89089703879117,63.50357185154802,69.45411890186244,0.6097639166465799,1.8873241765556252,18.0,36.0
leaky,58.618098629539844,73.05924147205107,77.41213832108267,19.0,1.2000000000000002,25.78689489276503,0.7000000000000001,6.0,2.0,7.206734452718699,0.06,800,105,71,71,0.08875,1.0,0.0,0.41983013267131325,0.28855262050157016,0.6044110966186308,0.9859154929577465,0.9859154929577465,65.81410723613736,63.86873738808164,69.36261517225421,0.6068021079612583,1.9378293802592947,17.0,38.0
leaky,60.152332305564975,73.22879113893387,77.31988686939715,15.0,0.8,23.7169824789905,0.6000000000000001,10.0,0.5,20.81368981005608,0.09,800,113,70,70,0.0875,1.0,0.0,0.4471044169755075,0.33517402876352165,0.7440583918749774,0.9428571428571428,0.9428571428571428,65.35008753786761,63.81448764869578,70.10572092273283,0.5123154778611209,2.5455170931189035,18.0,36.0
leaky,58.796894117290414,72.99805038486707,77.54799927671662,16.0,0.6,29.47208634728028,0.30000000000000004,24.0,1.0,34.624680981335125,0.07,800,122,70,70,0.0875,1.0,0.0,0.6217233109009681,0.4768705810091181,0.91116056792566,0.5857142857142857,0.5857142857142857,65.86556543343866,63.82505199551149,70.67292485982347,0.5638569731746967,2.185396906604436,22.0,32.0
leaky,60.02584487167496,73.07961820344701,77.1864487890409,16.0,0.8,25.29811464425653,0.6000000000000001,8.0,0.5,16.650951848044862,0.09,800,120,70,70,0.0875,1.0,0.0,0.4779021824840981,0.3522641280687205,0.7066399034743049,0.9428571428571428,0.9428571428571428,65.46064172901812,63.7916019922703,69.12878252405461,0.5264135215886123,2.4519425987484738,18.0,36.0
leaky,60.05659458774052,73.43258778860317,77.50351462892652,17.0,0.6,31.314091743985294,0.4,16.0,1.0,23.083120654223414,0.05,800,106,70,70,0.0875,1.0,0.0,0.6130147254779392,0.47197181787642756,0.8691696703982408,0.5857142857142857,0.5857142857142857,65.24843457547928,63.73428603647661,70.8050824887949,0.5798155293600693,2.0859447502181174,22.0,32.0
leaky,59.113604709359834,72.38027779884915,76.5793543501798,17.0,0.8,26.879246809522563,0.4,22.0,0.5,45.79011758212337,0.1,800,105,70,70,0.0875,1.0,0.0,0.5261893972260154,0.3834467728207375,0.7558992170298361,0.8428571428571429,0.8428571428571429,66.13018872158605,63.7100990133843,69.3718715126581,0.5958004214771946,1.9957277118320809,19.0,35.0
leaky,59.50741519611924,72.72381163602843,76.90781175581273,18.0,0.8,28.460378974788597,0.30000000000000004,24.0,0.5,49.95285554413459,0.1,800,102,70,70,0.0875,1.0,0.0,0.5563762554660017,0.41319545009861885,0.763740375468774,0.8142857142857143,0.8142857142857143,66.51120609917288,63.37494550677296,69.1672798121276,0.6154430675505655,1.8676837741218422,20.0,34.0
leaky,60.506999276015776,73.44837665664633,77.46213881615571,15.0,0.8,23.7169824789905,0.4,22.0,0.5,45.79011758212337,0.08,800,123,69,69,0.08625,1.0,0.0,0.48901341291385475,0.32514210652741904,0.6629428798924459,0.9420289855072463,0.9420289855072463,65.96825396245075,63.47752603382614,70.5198187954254,0.5595801351107399,2.2310683423779207,18.0,36.0
leaky,60.3556790141747,73.42499780566087,77.49178455591885,15.0,0.8,23.7169824789905,0.4,24.0,0.5,49.95285554413459,0.09,800,119,69,69,0.08625,1.0,0.0,0.47367122314250226,0.3124867512588917,0.7516276438303268,0.927536231884058,0.927536231884058,65.2725637061885,63.8695480331361,69.63921368469954,0.5383099196971309,2.35044610417306,18.0,35.0
leaky,59.71125489225887,73.2740622364542,77.49442263918628,16.0,0.6,29.47208634728028,0.5,16.0,1.0,23.083120654223414,0.09,800,111,69,69,0.08625,1.0,0.0,0.5831571258186108,0.417629210752672,0.8920628045815886,0.6666666666666666,0.6666666666666666,65.99875917228431,63.797035135222046,69.76280083247751,0.5403156773070683,2.3422798486397665,21.0,32.0
leaky,58.90337081969986,73.4495580895291,78.13843641670888,17.0,0.6,31.314091743985294,0.30000000000000004,24.0,1.0,34.624680981335125,0.1,800,111,69,69,0.08625,1.0,0.0,0.6405488268711304,0.4907952824413613,0.9572784590257517,0.4927536231884058,0.4927536231884058,65.7385534713134,63.8816059004122,69.60910679766563,0.5545370080519615,2.2302896586368766,23.0,31.0
leaky,59.73413251833198,73.2732233395252,77.42033407746382,18.0,0.6,33.15609714069031,0.4,16.0,1.0,23.083120654223414,0.06,800,113,69,69,0.08625,1.0,0.0,0.6893243079109103,0.44096990704694267,0.9160573663523697,0.4057971014492754,0.4057971014492754,65.97275187778145,63.75132718862416,70.51433423958541,0.6236104648155324,1.817237414706799,23.0,31.0
leaky,58.64762169230035,72.40317922527254,76.70318228921224,18.0,0.6,33.15609714069031,0.4,18.0,1.0,25.968510736001342,0.07,800,105,69,69,0.08625,1.0,0.0,0.6116526895958166,0.440774954682211,0.9237894484714166,0.6086956521739131,0.6086956521739131,65.59810488292379,63.44297690008315,69.87485854442464,0.5850345858561701,2.0248902101138957,22.0,32.0
