family,exp_ev_ia,exp_ev_upd,exp_ev_pr3,bat_med,bat_shape,bat_scale,cure_frac,unc_med,unc_shape,unc_scale,n_attempts,n_pass_events,n_pass_futility,n_accepted,acceptance_rate,p_reach80,p_no_readout,median_hr_final,hr_final_low,hr_final_high,p_hr_below_threshold,p_success_overall,median_t80_months,p10_t80_months,p90_t80_months,median_hr_ia,median_z_ia,median_bat_alive_upd,median_gps_alive_upd
cure,59.30051830722474,72.67519725011923,76.86704732638964,17.0,0.6,31.314091743985294,0.2,23.0,0.8999999999999999,34.561169890224704,800,109,66,66,0.0825,1.0,0.0,0.63446748793795,0.46689765210253587,0.864617074272473,0.5,0.5,65.74618857387514,63.82201112259261,69.3983302433066,0.5589206516631926,2.2336119973071096,22.0,31.5
cure,58.55426712293183,73.12291835905744,77.58246736247642,17.0,0.8,26.879246809522563,0.30000000000000004,21.0,0.8999999999999999,31.5558507693356,800,120,66,66,0.0825,1.0,0.0,0.5183460774009674,0.36095953710036166,0.7060306507656514,0.8484848484848485,0.8484848484848485,65.40359068386192,63.72170192540119,68.73632638756948,0.5271784618652039,2.4843770270564502,20.0,34.0
cure,59.909781950573596,73.36528165851126,77.54908685775973,18.0,0.6,33.15609714069031,0.2,21.0,0.8999999999999999,31.5558507693356,800,109,66,66,0.0825,1.0,0.0,0.6751729218698806,0.3922580085230292,0.9153665140472836,0.42424242424242425,0.42424242424242425,65.57622298934332,63.807126363992495,69.13091718897054,0.59805325000581,1.9973590001052117,23.0,31.0
cure,60.05882225644412,73.0822778612511,77.11279067926239,15.0,0.6,27.63008095057526,0.25,22.0,0.8999999999999999,33.058510329780155,800,109,65,65,0.08125,1.0,0.0,0.5879616417460023,0.3898459228379607,0.7903545161656966,0.6461538461538462,0.6461538461538462,66.02630392565108,63.849802381492346,70.46176595765513,0.5417390274252133,2.341500068817167,22.0,32.0
cure,58.50448301634008,72.42921900791254,76.57932669706642,16.0,0.6,29.47208634728028,0.35000000000000003,19.0,1.1999999999999997,25.78689489276503,800,113,65,65,0.08125,1.0,0.0,0.573098445516522,0.4224573261860591,0.8466029623802309,0.7076923076923077,0.7076923076923077,65.9199681129735,63.738001640274746,69.87285740570782,0.5044938077595511,2.602673045617178,21.0,32.0
cure,59.96417908991218,73.3964284333859,77.58458794270456,17.0,0.6,31.314091743985294,0.2,22.0,0.8999999999999999,33.058510329780155,800,122,65,65,0.08125,1.0,0.0,0.6251796399659653,0.45649907560019365,0.8642393294824916,0.5538461538461539,0.5538461538461539,65.61062404013465,63.467116230507244,69.45916300409395,0.558091989897396,2.246894550683752,22.0,32.0
cure,59.409792126057255,73.25152264272378,77.30876727217696,17.0,1.0,24.525815695112378,0.4,14.0,0.6,25.788075553870243,800,107,65,65,0.08125,1.0,0.0,0.43234429034386956,0.3037908030729709,0.6100656180417061,0.9846153846153847,0.9846153846153847,65.98120349162585,64.07165820901257,69.62565868823069,0.5596419267552727,2.175730092170814,17.0,37.0
cure,59.08140952441055,73.48898760795751,77.82180277858217,18.0,1.0,25.968510736001342,0.30000000000000004,19.0,0.6,34.998102537395326,800,107,65,65,0.08125,1.0,0.0,0.44041446095841535,0.32333825072355904,0.625134732661322,0.9846153846153847,0.9846153846153847,65.36824189112554,63.41390420947651,68.81764025248016,0.5391566873573135,2.425007576912478,17.0,37.0
cure,59.70424566483032,72.98509132660895,77.12373418270374,19.0,0.8,30.04151114005463,0.15000000000000002,24.0,0.6,44.208129520920416,800,112,65,65,0.08125,1.0,0.0,0.590097071471645,0.3856729640697498,0.8156161869748805,0.676923076923077,0.676923076923077,65.45409040601098,63.84424543884299,70.62693549562385,0.6518727135424236,1.634856141906524,20.0,33.0
cure,59.165512910217046,72.72383647943262,77.0356759304905,16.0,0.6,29.47208634728028,0.15000000000000002,27.0,0.8999999999999999,40.571808132002914,800,112,64,64,0.08,1.0,0.0,0.588104761052838,0.43958117594857077,0.9652598276727825,0.625,0.625,66.27841064954512,63.97044946442817,70.40032770211614,0.570574814289766,2.142996606560087,22.0,32.0
cure,59.427254490552485,73.25015395919692,77.6809178302658,16.0,0.6,29.47208634728028,0.1,29.0,0.8999999999999999,43.57712725289202,800,113,64,64,0.08,1.0,0.0,0.6197684922893778,0.45075299897602267,0.8674284791349058,0.578125,0.578125,65.4959821245275,63.717916742033196,68.7641231560773,0.5411489270131852,2.343907907617222,22.0,32.0
